Year,State,Votes
1788,Alabama,
1792,Alabama,
1796,Alabama,
1800,Alabama,
1804,Alabama,
1808,Alabama,
1812,Alabama,
1816,Alabama,
1820,Alabama,3
1824,Alabama,5
1828,Alabama,5
1832,Alabama,7
1836,Alabama,7
1840,Alabama,7
1844,Alabama,9
1848,Alabama,9
1852,Alabama,9
1856,Alabama,9
1860,Alabama,9
1864,Alabama,0
1868,Alabama,8
1872,Alabama,10
1876,Alabama,10
1880,Alabama,10
1884,Alabama,10
1888,Alabama,10
1892,Alabama,11
1896,Alabama,11
1900,Alabama,11
1904,Alabama,11
1908,Alabama,11
1912,Alabama,12
1916,Alabama,12
1920,Alabama,12
1924,Alabama,12
1928,Alabama,12
1932,Alabama,11
1936,Alabama,11
1940,Alabama,11
1944,Alabama,11
1948,Alabama,11
1952,Alabama,11
1956,Alabama,11
1960,Alabama,11
1964,Alabama,10
1968,Alabama,10
1972,Alabama,9
1976,Alabama,9
1980,Alabama,9
1984,Alabama,9
1988,Alabama,9
1992,Alabama,9
1996,Alabama,9
2000,Alabama,9
2004,Alabama,9
2008,Alabama,9
2012,Alabama,9
2016,Alabama,9
2020,Alabama,9
1788,Alaska,
1792,Alaska,
1796,Alaska,
1800,Alaska,
1804,Alaska,
1808,Alaska,
1812,Alaska,
1816,Alaska,
1820,Alaska,
1824,Alaska,
1828,Alaska,
1832,Alaska,
1836,Alaska,
1840,Alaska,
1844,Alaska,
1848,Alaska,
1852,Alaska,
1856,Alaska,
1860,Alaska,
1864,Alaska,
1868,Alaska,
1872,Alaska,
1876,Alaska,
1880,Alaska,
1884,Alaska,
1888,Alaska,
1892,Alaska,
1896,Alaska,
1900,Alaska,
1904,Alaska,
1908,Alaska,
1912,Alaska,
1916,Alaska,
1920,Alaska,
1924,Alaska,
1928,Alaska,
1932,Alaska,
1936,Alaska,
1940,Alaska,
1944,Alaska,
1948,Alaska,
1952,Alaska,
1956,Alaska,
1960,Alaska,3
1964,Alaska,3
1968,Alaska,3
1972,Alaska,3
1976,Alaska,3
1980,Alaska,3
1984,Alaska,3
1988,Alaska,3
1992,Alaska,3
1996,Alaska,3
2000,Alaska,3
2004,Alaska,3
2008,Alaska,3
2012,Alaska,3
2016,Alaska,3
2020,Alaska,3
1788,Arizona,
1792,Arizona,
1796,Arizona,
1800,Arizona,
1804,Arizona,
1808,Arizona,
1812,Arizona,
1816,Arizona,
1820,Arizona,
1824,Arizona,
1828,Arizona,
1832,Arizona,
1836,Arizona,
1840,Arizona,
1844,Arizona,
1848,Arizona,
1852,Arizona,
1856,Arizona,
1860,Arizona,
1864,Arizona,
1868,Arizona,
1872,Arizona,
1876,Arizona,
1880,Arizona,
1884,Arizona,
1888,Arizona,
1892,Arizona,
1896,Arizona,
1900,Arizona,
1904,Arizona,
1908,Arizona,
1912,Arizona,3
1916,Arizona,3
1920,Arizona,3
1924,Arizona,3
1928,Arizona,3
1932,Arizona,3
1936,Arizona,3
1940,Arizona,3
1944,Arizona,4
1948,Arizona,4
1952,Arizona,4
1956,Arizona,4
1960,Arizona,4
1964,Arizona,5
1968,Arizona,5
1972,Arizona,6
1976,Arizona,6
1980,Arizona,6
1984,Arizona,7
1988,Arizona,7
1992,Arizona,8
1996,Arizona,8
2000,Arizona,8
2004,Arizona,10
2008,Arizona,10
2012,Arizona,11
2016,Arizona,11
2020,Arizona,11
1788,Arkansas,
1792,Arkansas,
1796,Arkansas,
1800,Arkansas,
1804,Arkansas,
1808,Arkansas,
1812,Arkansas,
1816,Arkansas,
1820,Arkansas,
1824,Arkansas,
1828,Arkansas,
1832,Arkansas,
1836,Arkansas,3
1840,Arkansas,3
1844,Arkansas,3
1848,Arkansas,3
1852,Arkansas,4
1856,Arkansas,4
1860,Arkansas,4
1864,Arkansas,0
1868,Arkansas,5
1872,Arkansas,6
1876,Arkansas,6
1880,Arkansas,6
1884,Arkansas,7
1888,Arkansas,7
1892,Arkansas,8
1896,Arkansas,8
1900,Arkansas,8
1904,Arkansas,9
1908,Arkansas,9
1912,Arkansas,9
1916,Arkansas,9
1920,Arkansas,9
1924,Arkansas,9
1928,Arkansas,9
1932,Arkansas,9
1936,Arkansas,9
1940,Arkansas,9
